Date,Open,High,Low,Close,Adj Close,Volume
2022-01-06,268.119995,270.760010,267.799988,269.690002,266.719849,2908400
2022-01-07,268.559998,270.170013,267.000000,267.059998,264.118805,2209100
2022-01-10,266.709991,266.720001,262.010010,264.410004,261.497986,3122400
2022-01-11,263.489990,263.950012,260.320007,262.119995,259.233185,3206200
2022-01-12,263.369995,263.950012,260.279999,260.920013,258.046417,3044000
2022-01-13,261.410004,263.850006,260.589996,261.410004,258.531006,2371300
2022-01-14,261.140015,261.239990,257.160004,257.709991,254.871750,3460100
2022-01-18,256.959991,257.100006,254.309998,256.480011,253.655319,3076500
2022-01-19,257.549988,257.950012,255.080002,255.220001,252.409195,2304700
2022-01-20,256.619995,258.109985,252.899994,253.130005,250.342209,2602200
2022-01-21,254.039993,258.459991,253.690002,254.589996,251.786118,3738100
2022-01-24,252.380005,253.919998,247.779999,253.610001,250.816910,5153100
2022-01-25,250.830002,252.529999,247.070007,250.679993,247.919189,3908600
2022-01-26,253.000000,254.210007,247.860001,249.850006,247.098328,3839000
2022-01-27,249.600006,252.460007,245.250000,248.740005,246.000549,5199000
2022-01-28,250.000000,256.350006,247.160004,256.089996,253.269592,3833200
2022-01-31,255.020004,259.500000,254.440002,259.450012,256.592621,3174200
2022-02-01,259.750000,259.899994,255.580002,258.989990,256.137665,2496500
2022-02-02,258.829987,262.609985,258.489990,262.279999,259.391449,2371500
2022-02-03,262.000000,262.799988,260.070007,260.640015,257.769501,2242200
2022-02-04,259.869995,261.730011,257.790009,260.059998,257.195892,1989700
2022-02-07,261.000000,261.579987,259.170013,259.850006,256.988220,1959300
2022-02-08,260.500000,262.380005,259.100006,260.079987,257.215637,2920000
2022-02-09,261.989990,262.880005,259.410004,259.859985,256.998077,2379300
2022-02-10,258.600006,260.440002,255.970001,256.869995,254.041016,3246600
2022-02-11,256.869995,258.760010,254.729996,255.160004,252.349838,3592700
2022-02-14,255.910004,256.250000,251.679993,253.389999,250.599350,2825800
2022-02-15,254.820007,256.920013,253.559998,253.809998,251.014709,2171500
2022-02-16,253.770004,254.600006,251.199997,253.089996,250.302643,2941800
2022-02-17,251.479996,252.880005,250.000000,250.929993,248.166428,2831900
2022-02-18,250.339996,252.289993,250.009995,250.600006,247.840088,2813500
2022-02-22,250.009995,254.699997,249.600006,252.699997,249.916931,3980500
2022-02-23,253.529999,253.850006,247.080002,247.789993,245.061020,3497200
2022-02-24,242.929993,245.580002,239.610001,245.029999,242.331406,4856000
2022-02-25,246.000000,249.529999,243.630005,249.449997,246.702728,4549700
2022-02-28,244.440002,245.720001,242.360001,244.770004,243.420914,4410400
2022-03-01,242.300003,243.600006,238.300003,239.630005,238.309250,3910700
2022-03-02,240.850006,242.740005,239.610001,240.940002,239.612030,4482000
2022-03-03,241.009995,242.339996,235.679993,236.649994,235.345657,4707400
2022-03-04,234.619995,236.389999,231.639999,235.809998,234.510300,4184100
2022-03-07,234.309998,234.309998,224.190002,224.330002,223.093582,5425000
